기관명,기관유형,주무부처,상위기관,소재지
한국법제연구원,기타공공기관,국무조정실,,세종특별자치시 국책연구원로 15(반곡동)
한국벤처투자,기타공공기관,중소벤처기업부,,"서울특별시 서초구 서초대로 45길 16, 3층~5층"
한국보건복지인재원,기타공공기관,보건복지부,,충청북도 충청북도 청주시 흥덕구 오송읍 오송생명2로 187
한국보건사회연구원,기타공공기관,국무조정실,,세종특별자치시 시청대로 370 세종국책연구단지 사회정책동(1~5층)
한국보건산업진흥원,기타공공기관,보건복지부,,충청북도 청주시 흥덕구 오송읍 오송생명2로 187 오송보건의료행정타운
한국보건의료연구원,기타공공기관,보건복지부,,서울특별시 광진구 능동로 400
한국보건의료인국가시험원,기타공공기관,보건복지부,,서울특별시 광진구 자양로 45
한국보육진흥원,기타공공기관,교육부,,"서울특별시 용산구 청파로 345, 주연빌딩 3,4,5,6층"
한국보훈복지의료공단,준정부기관(위탁집행형),국가보훈부,,강원도 원주시 혁신로 40
한국부동산원,공기업(준시장형),국토교통부,,대구광역시 동구 이노밸리로 291
한국사학진흥재단,기타공공기관,교육부,,대구광역시 동구 혁신대로 345
한국사회보장정보원,준정부기관(위탁집행형),보건복지부,,"서울특별시 광진구 능동로 400(중곡동, 보건복지행정타운)"
한국사회복지협의회,기타공공기관,보건복지부,,서울특별시 마포구 만리재로 14(공덕동) 한국사회복지회관 5층
한국사회적기업진흥원,기타공공기관,고용노동부,,경기도 성남시 수정구 수정로 157(새마을금고빌딩) 6~8층
한국산림복지진흥원,준정부기관(위탁집행형),산림청,,대전광역시 서구 구봉산북로 96-90(관저동)
한국산업기술기획평가원,준정부기관(위탁집행형),산업통상자원부,,대구광역시 동구 첨단로8길 32
한국산업기술시험원,기타공공기관,산업통상자원부,,경상남도 진주시 충의로 10(충무공동)
한국산업기술진흥원,준정부기관(위탁집행형),산업통상자원부,,서울특별시 강남구 테헤란로 305
한국산업단지공단,준정부기관(위탁집행형),산업통상자원부,,대구광역시 동구 첨단로 39(신서동)
한국산업안전보건공단,준정부기관(위탁집행형),고용노동부,,울산광역시 중구 종가로 400(성안동)
한국산업은행,기타공공기관,금융위원회,,서울특별시 영등포구 은행로 14
한국산업인력공단,준정부기관(위탁집행형),고용노동부,,울산광역시 중구 종가로 345(교동)
한국상하수도협회,기타공공기관,환경부,,서울특별시 영등포구 대림로 244(대림동)
한국생명존중희망재단,기타공공기관,보건복지부,,서울특별시 서울특별시 중구 을지로6
한국서부발전(주),공기업(시장형),산업통상자원부,,충청남도 태안군 태안읍 중앙로 285
한국석유공사,공기업(시장형),산업통상자원부,,울산광역시 중구 종가로 305
한국석유관리원,준정부기관(위탁집행형),산업통상자원부,,"경기도 성남시 분당구 안양판교로 1207(백현동, 한국석유관리원)"
한국세라믹기술원,기타공공기관,산업통상자원부,,경상남도 진주시 소호로 101
한국소방산업기술원,기타공공기관,소방청,,경기도 용인시 기흥구 지삼로331
한국소비자원,준정부기관(위탁집행형),공정거래위원회,,충청북도 음성군 맹동면 용두로 54
한국수력원자력(주),공기업(시장형),산업통상자원부,,경상북도 경주시 문무대왕면 불국로 1655
한국수목원정원관리원,준정부기관(위탁집행형),산림청,,"세종특별자치시 정부2청사로 10(나성동, 에스엠타워) 3층"
한국수산자원공단,기타공공기관,해양수산부,,부산광역시 기장군 일광읍 이동길4
한국수자원공사,공기업(준시장형),환경부,,대전광역시 대덕구 신탄진로 200
한국수자원조사기술원,기타공공기관,환경부,,"경기도 고양시 일산서구 킨텍스로 217-59 킨텍스 제2전시장 오피스동 8층, 11~13층"
한국수출입은행,기타공공기관,기획재정부,,서울특별시 영등포구 은행로 38
한국승강기안전공단,준정부기관(위탁집행형),행정안전부,,경상남도 진주시 소호로102(충무공동)
한국식품산업클러스터진흥원,기타공공기관,농림축산식품부,,전라북도 익산시 왕궁면 국가식품로 100
한국식품안전관리인증원,기타공공기관,식품의약품안전처,,충청북도 청주시 흥덕구 오송읍 오송생명5로 156
한국양성평등교육진흥원,기타공공기관,여성가족부,,서울특별시 은평구 진흥로 225(불광동)
한국어촌어항공단,기타공공기관,해양수산부,,서울특별시  금천구 가산디지털2로 53 한라시그마밸리 12층
한국언론진흥재단,기타공공기관,문화체육관광부,,서울특별시 중구 세종대로 124 한국프레스센터
한국에너지공단,준정부기관(위탁집행형),산업통상자원부,,울산광역시 울산광역시 중구 종가로 323(우정동)
한국에너지기술평가원,기타공공기관,산업통상자원부,,서울특별시 강남구 테헤란로 114길 14
한국에너지정보문화재단,기타공공기관,산업통상자원부,,서울특별시 금천구 남부순환로 1418
한국여성과학기술인육성재단,기타공공기관,과학기술정보통신부,,"서울특별시 강남구 테헤란로 7길 22, 한국과학기술회관 2관 6층"
한국여성인권진흥원,기타공공기관,여성가족부,,"서울특별시 중구 서소문로50(중림동, CENTRAL PLACE) 3층"
한국여성정책연구원,기타공공기관,국무조정실,,서울특별시 은평구 진흥로 225(불광동)
한국연구재단,준정부기관(위탁집행형),과학기술정보통신부,,대전광역시 유성구 가정로 201(가정동)
한국영상자료원,기타공공기관,문화체육관광부,,서울특별시 마포구 월드컵북로 400(상암동) 한국영상자료원
한국예술인복지재단,기타공공기관,문화체육관광부,,서울특별시 중구 한강대로 416 서울스퀘어 3층
한국원산지정보원,기타공공기관,관세청,,경기도 성남시 분당구 야탑로 208번길 8 (야탑동)
한국원자력안전기술원,기타공공기관,원자력안전위원회,,대전광역시 유성구 과학로 62
한국원자력안전재단,기타공공기관,원자력안전위원회,,경기도 성남시 분당구 대왕판교로644번길 49(삼평동) 1관 8층
한국원자력의학원,기타공공기관,과학기술정보통신부,,서울특별시 노원구 노원로 75
한국원자력통제기술원,기타공공기관,원자력안전위원회,,대전광역시 유성구 유성대로 1418(방현동)
한국원자력환경공단,준정부기관(위탁집행형),산업통상자원부,,경상북도 경주시 충효천길19
한국의료기기안전정보원,기타공공기관,식품의약품안전처,,"서울특별시 구로구 디지털로30길 28, 마리오타워 102, 107, 208, 303-1, 304, 305, 312호"
한국의료분쟁조정중재원,기타공공기관,보건복지부,,"서울특별시 중구 소월로2길 30, 티타워빌딩 8층, 9층, 21층"
한국의약품안전관리원,기타공공기관,식품의약품안전처,,"경기도 안양시 동안구 부림로 169번길 30, 4~6층"
한국인터넷진흥원,준정부기관(위탁집행형),과학기술정보통신부,,전라남도 나주시 진흥길 9(빛가람동 301-2)
한국임업진흥원,기타공공기관,산림청,,서울특별시 강서구 공항대로 475(등촌동)
한국자산관리공사,준정부기관(기금관리형),금융위원회,,부산광역시 남구 문현금융로 40(문현동)
한국잡월드,기타공공기관,고용노동부,,경기도 성남시 분당구 분당수서로501
한국장애인개발원,기타공공기관,보건복지부,,서울특별시 영등포구 의사당대로 22 이룸센터 5층
한국장애인고용공단,준정부기관(위탁집행형),고용노동부,,경기도 성남시 분당구 구미로 173번길 59
한국장학재단,준정부기관(위탁집행형),교육부,,대구광역시 동구 신암로 125
한국재정정보원,준정부기관(위탁집행형),기획재정부,,서울특별시 중구 후암로 110 (남대문로5가)
한국저작권보호원,기타공공기관,문화체육관광부,,"서울특별시 마포구 월드컵북로 400(상암동, 서울경제진흥원 4층, 9층, 10층)"
한국저작권위원회,기타공공기관,문화체육관광부,,경상남도 진주시 소호로 117(충무공동)
한국전기안전공사,준정부기관(위탁집행형),산업통상자원부,,전라북도 완주군 이서면 안전로 111
한국전력거래소,준정부기관(위탁집행형),산업통상자원부,,전라남도 나주시 빛가람로 625
한국전력공사,공기업(시장형),산업통상자원부,,전라남도 나주시 전력로 55
한국전력국제원자력대학원대학교,기타공공기관,산업통상자원부,,울산광역시 울주군 서생면 해맞이로 658-91
한국전력기술주식회사,공기업(준시장형),산업통상자원부,,경상북도 김천시 혁신로 269(율곡동)
한국제품안전관리원,기타공공기관,산업통상자원부,,"서울특별시 서초구 매헌로 16, 양재하이브랜드 17층"
한국조세재정연구원,기타공공기관,국무조정실,,세종특별자치시 시청대로 336
한국조폐공사,공기업(준시장형),기획재정부,,대전광역시 유성구 과학로 80-67(가정동)
한국주택금융공사,준정부기관(기금관리형),금융위원회,,부산광역시 남구 문현금융로 40(문현동) 부산국제금융센터
한국중부발전(주),공기업(시장형),산업통상자원부,,충청남도 보령시 보령북로 160(대천동)
한국중소벤처기업유통원,기타공공기관,중소벤처기업부,,서울특별시  양천구 목동동로 309(목동)
한국지능정보사회진흥원,준정부기관(위탁집행형),과학기술정보통신부,,대구광역시 동구 첨단로 53(신서동)
