분류,지역,발주처명,발주처분류,약칭,적격심사분류,비고
중앙행정기관(철도청),전남,국가철도공단 호남본부,국가철도공단,,국가철도공단,종사업자번호 : 0006호
중앙행정기관(철도청),경기,국가철도공단(고속철도사업단)(신성장사업단)김  포  시,국가철도공단,,국가철도공단,
중앙행정기관(철도청),충북,국가철도공단(기술본부) 천안시,국가철도공단,,국가철도공단,
중앙행정기관(철도청),충북,국가철도공단시설장비사무소,국가철도공단,,국가철도공단,종사업자번호 : 0005호
중앙행정기관(철도청),부산,국가철도공단영남본부,국가철도공단,,국가철도공단,종사업자번호 : 0007호
중앙행정기관(국방부),서울,국군 제7016부대,국방부,,국방부,
중앙행정기관(국방부),서울,국군수송사령부,국방부,,국방부,
중앙행정기관(국방부),경기,국군재정관리단,국방부,,국방부,
중앙행정기관(국방부),서울,국군중앙계약관,국방부,,국방부,
중앙행정기관(국방부),서울,국군지휘통신사령부,국방부,,국방부,
중앙행정기관(기타),서울,국립공원관리공단,중앙기타,,조달청(해양수산부산하기관),
정부투자기관(기타),전북,국립공원관리공단 내장산관리사업소,중앙기타,,미분류,
중앙행정기관(기타),서울,국립공원관리공단 북한산서부관리사무소,중앙기타,,조달청(해양수산부산하기관),
지방자치단체(시),서울,국립대학법인 서울대학교,지자체기타,,행정안전부(지방자치단체),
중앙행정기관(기타),서울,국립방재연구소,중앙기타,,미분류,
정부투자기관(기타),서울,국립백두대간수목원,공사기타,,조달청(해양수산부산하기관),
중앙행정기관(기타),대전,국립자연휴양림관리소,,,미분류,
정부투자기관(기타),서울,국민연금관리공단,공사기타,,조달청(해양수산부산하기관),
정부투자기관(공사),서울,국민체육진흥공단 경주사업본부,공사기타,,조달청(해양수산부산하기관),
중앙행정기관(국방부),대전,국방과학연구소,국방부,,국방부,
중앙행정기관(국방부),경남,국방과학연구소 해양기술연구원,국방부,,국방부,
중앙행정기관(국방부),충남,국방부 계룡대근무지원단,국방부,,국방부,
중앙행정기관(국방부),서울,국방부 조달본부,국방부,,국방부,
중앙행정기관(국방부),서울,국방부 주한미군기지이전사업단,국방부,,국방부,
중앙행정기관(국방부),서울,국방시설본부,국방부,,국방부,
중앙행정기관(국방부),서울,국방시설본부,국방부,,국방부,
중앙행정기관(국토교통부),기타,국책연구기관,국토교통부기타,,미분류,
정부투자기관(기타),경기,국토교통과학기술진흥원,공사기타,,미분류,
중앙행정기관(국토교통부),세종,국토교통부,국토교통부,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),부산,국토교통부 부산지방항공청,국토교통부,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),인천,국토교통부 서울지방항공청,국토교통부,,국토교통부(지방국토관리청/국토부예하기관),
정부투자기관(기타),경기,국토연구원,공사기타,,국토교통부(지방국토관리청/국토부예하기관),
정부투자기관(기타),세종,국토연구원,공사기타,,미분류,
중앙행정기관(국토교통부),경기,국토해양부 국립지리원,국토교통부기타,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(기타),충남,국토해양부 금강홍수통제소,국토교통부기타,,환경부(지방유역환경청/환경부예하기관),
중앙행정기관(기타),부산,국토해양부 낙동강홍수통제소,국토교통부기타,,환경부(지방유역환경청/환경부예하기관),
중앙행정기관(기타),전남,국토해양부 섬진강홍수통제소,국토교통부기타,,환경부(지방유역환경청/환경부예하기관),
중앙행정기관(기타),전남,국토해양부 영산강홍수통제소,국토교통부기타,,환경부(지방유역환경청/환경부예하기관),
중앙행정기관(기타),서울,국토해양부 한강홍수통제소,국토교통부기타,,환경부(지방유역환경청/환경부예하기관),
중앙행정기관(국토교통부),서울,국토해양부 항로교통관제소,국토교통부기타,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(해양수산부),전북,군산지방해양수산청,군산지방해양수산청,,조달청(해양수산부산하기관),
지방자치단체(시),경기,군포도시공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),경기,군포시 수도녹지사업소 생태공원녹지과,군포시,,행정안전부(지방자치단체),
지방자치단체(시),경기,군포시 수도녹지사업소 수도과,군포시,,행정안전부(지방자치단체),
지방자치단체(시),경기,군포시 수도녹지사업소 하수과,군포시,,행정안전부(지방자치단체),
외국기관,해외,그루지아 지역개발기반시설부,외국기관,,미분류,
정부투자기관(기타),서울,근로복지공단,공사기타,,조달청(해양수산부산하기관),
지방자치단체(군),충남,금강수상관광상생발전협의회,지자체기타,,,
중앙행정기관(기타),서울,기상청,중앙기타,,조달청(해양수산부산하기관),
중앙행정기관(기타),경기,기후에너지환경부,환경부,,환경부(지방유역환경청/환경부예하기관),
중앙행정기관(기타),서울,기후에너지환경부 국립생태원건립추진기획단,환경부,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(기타),인천,기후에너지환경부 국립환경과학원,환경부,,환경부(지방유역환경청/환경부예하기관),
중앙행정기관(기타),경기,기후에너지환경부 국립환경과학원 한강물환경연구소,환경부,,환경부(지방유역환경청/환경부예하기관),
중앙행정기관(기타),대전,기후에너지환경부 금강유역환경청,환경부,,환경부(지방유역환경청/환경부예하기관),
중앙행정기관(기타),경남,기후에너지환경부 낙동강유역환경청,환경부,,환경부(지방유역환경청/환경부예하기관),
중앙행정기관(기타),광주,기후에너지환경부 영산강유역환경청,환경부,,환경부(지방유역환경청/환경부예하기관), 
정부투자기관(기타),강원,기후에너지환경부 원주지방환경청,환경부,,환경부(지방유역환경청/환경부예하기관),
중앙행정기관(기타),전북,기후에너지환경부 전북지방환경청,환경부,,환경부(지방유역환경청/환경부예하기관),발주처명 변경 :  새만금지방환경청-->전북지방환경청
중앙행정기관(기타),서울,기후에너지환경부 한강수계관리위원회,환경부,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(기타),서울,기후에너지환경부 한강유역환경청,환경부,,환경부(지방유역환경청/환경부예하기관),
지방자치단체(시),경기,김포도시관리공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),경기,김포시 공원녹화사업소,김포시,,행정안전부(지방자치단체),
지방자치단체(시),경기,김포시 도로관리사업소,김포시,,행정안전부(지방자치단체),
지방자치단체(시),경기,김포시 도시개발공사,김포시,,행정안전부(지방자치단체),
지방자치단체(시),경기,김포시 시설관리공단,김포시,,행정안전부(지방자치단체),
지방자치단체(시),경기,김포시 클린도시사업소,김포시,,행정안전부(지방자치단체),
정부투자기관(기타),경남,김해국제공항관리공단,공사기타,,미분류,
지방자치단체(시),경남,김해시 농업기술센터,김해시,,행정안전부(지방자치단체),
지방자치단체(시),경남,김해시 문화관광사업소,김해시,,행정안전부(지방자치단체),
지방자치단체(시),경남,김해시 상하수도사업소,김해시,,행정안전부(지방자치단체),
정부투자기관(공사),경북,김해시도시개발공사,공사기타,,행정안전부(지방자치단체),
외국기관,해외,나이지리아 농업농촌개발부,외국기관,,미분류,
외국기관,서울,남광토건/Soares Dacosta,외국기관,,미분류,
정부투자기관(공사),기타,남부건설사업소,공사기타,,한국전력공사(발전자회사),
지방자치단체(시),경기,남양주도시공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),경기,남양주시 도로관리사업소,남양주시,,행정안전부(지방자치단체),
지방자치단체(시),경기,남양주시 상하수도관리센터,남양주시,,행정안전부(지방자치단체),
중앙행정기관(기타),경남,남해어업지도소,중앙기타,,조달청(해양수산부산하기관),
중앙행정기관(기타),서울,내무부,중앙기타,,미분류,
외국기관,해외,네팔 건설부,외국기관,,미분류,
외국기관,해외,네팔 건설부 도로국,외국기관,,미분류,
외국기관,해외,네팔 관개부,외국기관,,미분류,
외국기관,해외,네팔 토양보존 및 수자원관리부,외국기관,,미분류,
외국기관,해외,"네팔, 도로국",외국기관,,미분류,
정부투자기관(기타),충남,논산계룡축산업협동조합,공사기타,,미분류,
정부투자기관(기타),경기,농림수산식품부,해양수산부기타,,조달청(해양수산부산하기관),
중앙행정기관(해양수산부),부산,농림수산식품부 동해어업관리단,해양수산부기타,,조달청(해양수산부산하기관),
정부투자기관(공사),전북,농업기반공사,공사기타,,조달청(해양수산부산하기관),
정부투자기관(공사),경기,농업기반공사 경기지역본부,한국농어촌공사,,조달청(해양수산부산하기관),
정부투자기관(기타),서울,농업협동조합,공사기타,,미분류,
정부투자기관(기타),전북,농촌진흥청,중앙기타,,조달청(해양수산부산하기관),
정부투자기관(기타),전북,농촌진흥청 국립농업과학원,중앙기타,,조달청(해양수산부산하기관),
정부투자기관(기타),전북,농촌진흥청 국립축산과학원 가축유전자원센터,중앙기타,,조달청(해양수산부산하기관),
정부투자기관(기타),충남,농촌진흥청 국립축산과학원 축산자원개발부,중앙기타,,조달청(해양수산부산하기관),
외국기관,미분류,다낭인프라PMU,외국기관,,미분류,
지방자치단체(시),충남,당진군청 관광개발사업소,지자체기타,,행정안전부(지방자치단체),
정부투자기관(공사),충남,당진화력발전소,공사기타,,한국전력공사(발전자회사),
지방자치단체(도),대구,대구경북경제자유구역청,지자체기타,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 건설방재국,대구광역시,,행정안전부(지방자치단체),
지방자치단체(군),대구,대구광역시 군위군,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 남구,대구광역시 남구,,행정안전부(지방자치단체),
지방자치단체(시),대구,대구광역시 달서구,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 달서천환경사업소,대구광역시,,행정안전부(지방자치단체),
지방자치단체(군),대구,대구광역시 달성군,대구광역시 달성군,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 도시개발공사,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 도시건설본부,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 도시철도건설본부,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 동구,대구광역시 동구,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 북구,대구광역시 북구,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 상수도사업본부,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 상수도사업본부 가창정수사업소,대구광역시,,행정안전부(지방자치단체),
지방자치단체(군),대구,대구광역시 상수도사업본부 군위사업소,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 상수도사업본부 달성사업소,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 상수도사업본부 매곡정수사업소,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 상수도사업본부 시설관리소,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 상수도사업본부 죽곡정수사업소,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 서구,대구광역시 서구,,행정안전부(지방자치단체),
지방자치단체(군),대구,대구광역시 수성구,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 시설안전관리사업소,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 종합건설본부,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 중구청,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 지하철건설본부,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 하수도사업소,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 하수도특별회계관리자,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 하천관리사업소,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구광역시 환경시설공단,대구광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구교통공사,공사기타,,행정안전부(지방자치단체),
지방자치단체(광역시),대구,대구도시개발공사,지자체기타,,행정안전부(지방자치단체),
중앙행정기관(기타),대구,대구지방환경청,대구지방환경청,,국토교통부(지방국토관리청/국토부예하기관),
정부투자기관(기타),대구,대구환경공단,한국환경공단,,행정안전부(지방자치단체),
외국기관,해외,대만성 상수도공사,외국기관,,미분류,
중앙행정기관(기타),경기,대법원 수원지방법원 평택지원,중앙기타,,,
중앙행정기관(해양수산부),충남,대산지방해양수산청,대산지방해양수산청,,조달청(해양수산부산하기관),
지방자치단체(광역시),대전,대전 오월드,지자체기타,,행정안전부(지방자치단체),
지방자치단체(광역시),대전,대전광역시,대전광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대전,대전광역시 건설관리본부,대전광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대전,대전광역시 대덕구,대전광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대전,대전광역시 동구청,대전광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대전,대전광역시 상수도사업본부,대전광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대전,대전광역시 서구,대전광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대전,대전광역시 유성구,대전광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대전,대전광역시 중구,대전광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대전,대전광역시 지하철건설본부,대전광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),대전,대전광역시 하천관리사업소,대전광역시,,행정안전부(지방자치단체),
정부투자기관(공사),대전,대전도시공사,지자체기타,,행정안전부(지방자치단체),
중앙행정기관(국토교통부),대전,대전지방국토관리청,대전지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),충북,대전지방국토관리청 논산국토관리사무소,대전지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),대전,대전지방국토관리청 보은국토관리사무소,대전지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),대전,대전지방국토관리청 예산국토관리사무소,대전지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),대전,대전지방국토관리청 충주국토관리사무소,대전지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(철도청),대전,대전지방철도청,한국철도공사,,한국철도공사,
중앙행정기관(기타),서울,대통령경호처,중앙기타,,조달청(해양수산부산하기관),
정부투자기관(공사),서울,대한무역투자진흥공사,공사기타,,미분류,
정부투자기관(기타),경기,대한장애인체육회이천훈련원,공사기타,,미분류,
정부투자기관(공사),경기,대한주택공사,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),강원,대한주택공사 강원지사,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),강원,대한주택공사 강원지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),경기,대한주택공사 경기지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),광주,대한주택공사 광주전남지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),대구,대한주택공사 대구경북지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),대전,대한주택공사 대전충남지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),부산,대한주택공사 부산지사,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),부산,대한주택공사 부산지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),서울,대한주택공사 서울지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),경기,대한주택공사 오산신도시사업본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),경남,대한주택공사 울산경남지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),인천,대한주택공사 인천지사,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),인천,대한주택공사 인천지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),전북,대한주택공사 전북지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),제주,대한주택공사 제주지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),충남,대한주택공사 충남지사,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),충북,대한주택공사 충북사업소,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),충북,대한주택공사 충북지역본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(공사),경기,대한주택공사 파주신도시사업본부,한국토지주택공사,,한국토지주택공사,
정부투자기관(기타),서울,대한체육회,공사기타,,조달청(해양수산부산하기관),
중앙행정기관(국토교통부),서울,도로교통공단 경기도지부,국토교통부기타,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국방부),,동원전력사령부,국방부,,,
중앙행정기관(기타),서울,동작세무서,중앙기타,,미분류,
외국기관,해외,동티모르 공공교통통신부,외국기관,,미분류,
외국기관,해외,동티모르 공공사업부,외국기관,,미분류,
외국기관,해외,동티모르 인프라부,외국기관,,미분류,
외국기관,해외,동티모르 조달청,외국기관,,미분류,
지방자치단체(도),강원,동해안권경제자유구역청,지자체기타,,행정안전부(지방자치단체),
중앙행정기관(해양수산부),강원,동해지방해양수산청,동해지방해양수산청,,조달청(해양수산부산하기관),
외국기관,해외,라오스,외국기관,,미분류,
외국기관,미분류,라오스 공공사업 및 교통부,외국기관,,미분류,
외국기관,미분류,라오스 농림부,외국기관,,미분류,
외국기관,미분류,라오스 농업 및 개발부,외국기관,,미분류,
외국기관,해외,러시아(재정사업),외국기관,,미분류,
외국기관,해외,레소토,외국기관,,미분류,
외국기관,해외,르완다 교통개발청,외국기관,RTDA,미분류,
외국기관,해외,르완다 상하수도국(WASAC),외국기관,,미분류,
외국기관,해외,르완다 수자원국(Rwanda Water Resources Board),외국기관,,미분류,
외국기관,미분류,르완다 LWH,외국기관,,미분류,
중앙행정기관(해양수산부),경남,마산지방해양수산청,마산지방해양수산청,,조달청(해양수산부산하기관),
외국기관,미분류,말라위 도로국,외국기관,,미분류,
외국기관,미분류,말라위 수자원개발 및 관개부,외국기관,,미분류,
외국기관,미분류,말라위 에너지국,외국기관,,미분류,
외국기관,해외,말레이시아,외국기관,,미분류,
외국기관,해외,말레이시아 쿠알라룸푸르시,외국기관,,미분류,
외국기관,해외,모잠비크 국립도로청,외국기관,,미분류,
외국기관,해외,모잠비크 농업연구원,외국기관,,미분류,
외국기관,미분류,모잠비크 도로국,외국기관,,미분류,
외국기관,미분류,모잠비크 인프라 및 상하수도부,외국기관,,미분류,
외국기관,해외,모잠비크 재경성,외국기관,,미분류,
지방자치단체(시),전남,목포시 환경수도사업단,목포시,,행정안전부(지방자치단체),
지방자치단체(시),전남,목포시지방공기업하수도사업회계,지자체기타,,행정안전부(지방자치단체),
중앙행정기관(해양수산부),전남,목포지방해양항만청,해양수산부기타,,조달청(해양수산부산하기관),
외국기관,미분류,몽골 도로교통부,외국기관,,미분류,
외국기관,미분류,몽골 울란바토르시,외국기관,,미분류,
지방자치단체(군),전남,무안군 상하수도사업소,무안군,,행정안전부(지방자치단체),
지방자치단체(시),경기,문화도시사업단,지자체기타,,행정안전부(지방자치단체),
외국기관,해외,미8군계약사령부(USACCK),외국기관,,미분류,
중앙행정기관(국방부),서울,미군계약지원단,국방부,,국방부,
외국기관,해외,미극동공병단(FED),외국기관,,미분류,Far East District
외국기관,해외,"미극동해군시설단(NAVFAC Far East, FEAD)",외국기관,,미분류,
외국기관,미분류,미얀마 건설부,외국기관,,미분류,
외국기관,해외,방글라교량청(재정),외국기관,,미분류,
외국기관,해외,방글라데시,외국기관,,미분류,
외국기관,해외,방글라데시 교량청,외국기관,,미분류,
외국기관,미분류,방글라데시 다카 상하수도국,외국기관,,미분류,
외국기관,미분류,방글라데시 수자원부,외국기관,,미분류,
외국기관,미분류,방글라데시 정부,외국기관,,미분류,
외국기관,미분류,방글라데시 치타공 상하수도국,외국기관,,미분류,
외국기관,해외,방글라데시 카나플리 드라이독주식회사(KDDL),외국기관,,미분류,
외국기관,미분류,방글라데시 CWASA,외국기관,,미분류,
외국기관,미분류,방글라데시 DWASA,외국기관,,미분류,
외국기관,해외,방글라데시 LGED,외국기관,,미분류,
외국기관,해외,방글라데시지사,외국기관,,미분류,
중앙행정기관(국방부),서울,방위사업청,국방부,,국방부,
중앙행정기관(기타),경기,법무부,중앙기타,,조달청(해양수산부산하기관),
외국기관,미분류,베트남 교통부,외국기관,,미분류,
외국기관,해외,베트남 농무성 중앙사업소,외국기관,,미분류,
외국기관,미분류,베트남 농업 및 개발부,외국기관,,미분류,
외국기관,미분류,베트남 닌빈시 PMU,외국기관,,미분류,
외국기관,해외,"베트남 도로부(PID1, PMU3)",외국기관,,미분류,
외국기관,해외,베트남 자연자원환경부 사업관리단,외국기관,"(PMU,MoNRE)",미분류,
외국기관,해외,베트남 푸미빈 건설투자공사,외국기관,,미분류,
외국기관,미분류,베트남 하이퐁시 PMU,외국기관,,미분류,
외국기관,해외,베트남 호아빈성,외국기관,,,
외국기관,미분류,베트남 Binh Phuoc 상하수도공사,외국기관,,미분류,
외국기관,미분류,베트남 Da Nang 인프라투자 PMU,외국기관,,미분류,
외국기관,미분류,베트남 HCMCES2 PMU,외국기관,,미분류,
외국기관,미분류,베트남 LAWACO PMU,외국기관,,미분류,
외국기관,미분류,베트남 Phu Ly 도시개발 PMU,외국기관,,미분류,
외국기관,미분류,베트남 Quang Tri PMU,외국기관,,미분류,
외국기관,미분류,베트남 Thai Nguyen PMU,외국기관,,미분류,
외국기관,미분류,베트남 Vinh시 PMU,외국기관,,미분류,
외국기관,해외,베트남농업성,외국기관,,미분류,
지방자치단체(시),충남,보령시해수욕장 경영사업소,지자체기타,,행정안전부(지방자치단체),
외국기관,해외,보스니아,외국기관,,미분류,
지방자치단체(군),충북,보은군 상하수도사업소,보은군,,행정안전부(지방자치단체),
지방자치단체(군),경북,봉화군농업기술센터,봉화군,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,"부산,진해경제자유구역청",지자체기타,,행정안전부(지방자치단체),
정부투자기관(공사),미분류,부산경륜공단,지자체기타,,조달청(해양수산부산하기관),
지방자치단체(광역시),부산,부산광역시,부산광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 강서구,부산광역시 강서구,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 건설본부,부산광역시,,행정안전부(지방자치단체),
지방자치단체(군),부산,부산광역시 금정구,부산광역시,,행정안전부(지방자치단체),
지방자치단체(군),부산,부산광역시 기장군,부산광역시 기장군,,행정안전부(지방자치단체),
지방자치단체(시),부산,부산광역시 낙동강관리본부,,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 낙동강환경조성사업단,부산광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 남구,부산광역시 남구,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 동구,부산광역시 동구,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 동래구,부산광역시 동래구,,행정안전부(지방자치단체),
지방자치단체(시),부산,부산광역시 부산진구,부산광역시 부산진구,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 북구,부산광역시 북구,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 사상구,부산광역시 사상구,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 사하구,부산광역시 사하구,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 상수도사업본부,부산광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 상수도사업본부 시설관리사업소,부산광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 서구,부산광역시 서구,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 수영구,부산광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 연제구,부산광역시 연제구,,행정안전부(지방자치단체),
지방자치단체(군),부산,부산광역시 영도구,부산광역시 영도구,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산광역시 중구,부산광역시 중구,,행정안전부(지방자치단체),
지방자치단체(시),부산,부산광역시 해운대구,부산광역시 해운대구,,행정안전부(지방자치단체),
정부투자기관(기타),부산,부산교통공단,공사기타,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산교통공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산도시공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(광역시),부산,부산시광역시 수영구,지자체기타,,행정안전부(지방자치단체),
정부투자기관(기타),미분류,부산지방공단 스포원,공사기타,,행정안전부(지방자치단체),
중앙행정기관(국토교통부),부산,부산지방국토관리청,부산지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),부산,부산지방국토관리청 김해국토관리사무소,부산지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),부산,부산지방국토관리청 대구국토관리사무소,부산지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),부산,부산지방국토관리청 영주국토관리사무소,부산지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),부산,부산지방국토관리청 영주국토유지건설사무소,부산지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),부산,부산지방국토관리청 진주국토관리사무소,부산지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),경남,부산지방국토관리청 포항국토관리사무소,부산지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(철도청),부산,부산지방철도청,한국철도공사,,한국철도공사,
중앙행정기관(해양수산부),부산,부산지방해양수산청,부산지방해양수산청,,조달청(해양수산부산하기관),
중앙행정기관(해양수산부),부산,부산지방해양수산청 부산항건설사무소,부산지방해양수산청,,조달청(해양수산부산하기관),
중앙행정기관(해양수산부),제주,부산지방해양항만청 제주해양관리단,해양수산부기타,,조달청(해양수산부산하기관),
정부투자기관(공사),부산,부산컨테이너 부두운영공사,공사기타,,미분류,
중앙행정기관(해양수산부),부산,부산항만공사,공사기타,,조달청(해양수산부산하기관),
정부투자기관(기타),부산,부산환경공단,한국환경공단,,한국전력공사(발전자회사),
중앙행정기관(기타),부산,부산환경공단 명지사업소,한국환경공단,,한국전력공사(발전자회사),
정부투자기관(기타),부산,부산환경공단 에너지사업단,한국환경공단,,한국전력공사(발전자회사),
정부투자기관(기타),부산,부산환경공단 집단에너지사업소,한국환경공단,,한국전력공사(발전자회사),
정부투자기관(기타),부산,부산환경공단 하수자원사업단,한국환경공단,,한국전력공사(발전자회사),
지방자치단체(군),충남,부여군 상하수도 사업소,부여군,,행정안전부(지방자치단체),
지방자치단체(시),인천,부천도시공사,지자체기타,,행정안전부(지방자치단체),
외국기관,미분류,불가리아 지역개발 및 공공사업부,외국기관,,미분류,
외국기관,미분류,사모아 공항국,외국기관,,미분류,
외국기관,미분류,사모아 국토교통국,외국기관,,미분류,
외국기관,미분류,산도도밍고시,외국기관,,미분류,
정부투자기관(기타),서울,산림조합중앙회,공사기타,,조달청(해양수산부산하기관),
중앙행정기관(기타),대전,산림청,중앙기타,,조달청(해양수산부산하기관),
중앙행정기관(기타),전북,산림청 서부지방산림청,중앙기타,,조달청(해양수산부산하기관),
중앙행정기관(기타),충북,산림청 중부지방산림청 단양국유림관리소,중앙기타,,조달청(해양수산부산하기관),
정부투자기관(기타),세종,산업연구원,공사기타,,미분류,
중앙행정기관(기타),충북,산업통상자원부,중앙기타,,조달청(해양수산부산하기관),
지방자치단체(군),경남,산청군상하수도사업소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),강원,삼척시 지역개발사업단,삼척시,,행정안전부(지방자치단체),
중앙행정기관(국방부),서울,상무대 근무지원단,국방부,,국방부,
지방자치단체(시),경북,상주시 상하수도사업소,상주시,,행정안전부(지방자치단체),
